sentence_id,article_id,publisher,sentence_text,gpt_focus,gpt_type,gpt_tone,focus,type,tone
407a3f18c49c63bc09cc11a57073dcb6,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"LOS ANGELES () — Prosecutors will recommend Erik and Lyle Menendez be resentenced for the 1989 killings of their parents in the family’s Beverly Hills home, providing the brothers with a chance at freedom after 34 years behind bars.",neither,fact,neutral,neither,fact,neutral
9225d1a5c485fae76af2f12412131ef1,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,Los Angeles County District Attorney George Gascón announced during a Thursday news conference that his office would recommend the brothers be sentenced to 50 years to life.,neither,fact,neutral,neither,fact,neutral
86aa33c0a422ab14368a14d31fb40c99,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"Because they were under 26 years old at the time of the crimes, they will be eligible for parole immediately, he said.",neither,fact,neutral,neither,fact,neutral
3f917c02ab8968d3366904957f63841c,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"“I came to a place where I believe, under the law, resentencing is propriate,” Gascón said.",neither,quote,neutral,neither,quote,positive
d7747138e70d8fb360d154dd440d987e,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,He said some members of his office oppose the decision.,neither,fact,neutral,neither,fact,neutral
b93dcc38445ed0697a799b76a5cb21e4,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,Prosecutors will file the petition on Friday and a hearing before a judge could come within the next month or so.,neither,fact,neutral,neither,fact,neutral
671e412f6a343ea04ba3be467d87acbe,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,The Menendez brothers were sentenced in 1996 to life in prison without the possibility of parole.,neither,fact,neutral,neither,fact,neutral
80cc0846e52ade3e6e55a14beafb4f3d,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"Lyle Menendez, then 21, and Erik Menendez, then 18, admitted they fatally shot their entertainment executive father, Jose Menendez, and their mother, Kitty Menendez.",neither,fact,neutral,neither,fact,neutral
1cbd7da4699879b7cd2246dd3db14412,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,The brothers said they feared their parents were about to kill them to stop people from finding out that Jose Menendez had sexually abused Erik Menendez for years.,neither,fact,neutral,neither,fact,neutral
a0c5206216cac41e8e29ebac3b38008e,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,Family largely united in asking for brothers’ freedom,neither,fact,neutral,neither,fact,neutral
f1d5ba7e11d1b86d0eb70f80465b3b83,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"The brothers’ extended family has pleaded for their release, saying they deserve to be free after decades behind bars.",neither,fact,neutral,neither,fact,positive
06a826d890d895bcc9868687e4e2dc6a,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,Several family members have said that in today’s world — which is more aware of the impact of sexual abuse — the brothers would not have been convicted of first-degree murder and sentenced to life.,neither,opinion,neutral,neither,borderline,neutral
e1100360ff3f26087cc4502abee768b8,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"Multiple members of their extended family, including their aunt Joan Andersen VanderMolen, sat in the first few rows of Thursday’s news conference.",neither,fact,neutral,neither,fact,neutral
dfe08c97839366c30df6393fbdaeac1c,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,VanderMolen was Kitty Menendez’s sister and has publicly supported their release.,neither,fact,neutral,neither,fact,neutral
ec4f18c1e8dc18ec5df6e19801553138,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"Mark Geragos, an attorney for the brothers, was also there.",neither,fact,neutral,neither,fact,neutral
fa401dc893cdd11f332a6a5e33bf9206,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"Anamaria Baralt, a niece of Jose Menendez, said the district attorney’s “brave and necessary” decision means “Lyle and Erik can finally begin to heal from the trauma of their past.”",neither,quote,positive,neither,quote,positive
a5bff2591973943de43aeb45ac9db4ab,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"The Menendez brothers were tried twice for their parents’ murders, with the first trial ending in a hung jury.",neither,fact,neutral,neither,fact,neutral
28eb5ce97045ad11471a0cd5e479c450,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"Prosecutors at the time contended that there was no evidence of molestation, and many details in their story of sexual abuse were not permitted in the second trial.",neither,fact,neutral,neither,fact,neutral
7ed98905e95ae1333724bef964f103b0,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,The district attorney’s office also said back then that the brothers were after their parents’ multimillion-dollar estate.,neither,fact,neutral,neither,fact,neutral
8cb7c55df65e818353a5cbd7dcc4f892,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,District attorney believes Erik and Lyle ‘paid their debt’Gascón said he made the final decision only an hour before the news conference and that family members were told just minutes before.,neither,fact,neutral,neither,fact,neutral
d02359f58c07399c1d6a37917dd6b0cf,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"Despite their life sentences, Gascón said the brothers worked on redemption and rehabilitation inside prison.",neither,fact,neutral,neither,fact,neutral
54b8954695c9e8b42dfa3204a3c6a1d0,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"“I believe that they have paid their debt to society,” he said.",neither,quote,neutral,neither,quote,neutral
8c996099847f9a5e63f6463e835b79c1,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,Not all Menendez family members support resentencing.,neither,fact,neutral,neither,fact,neutral
418777a0793bc55be1bf53a9c296c1ad,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"Attorneys for Milton Andersen, the 90-year-old brother of Kitty Menendez, filed a legal brief asking the court to keep the brothers’ original punishment.",neither,fact,neutral,neither,fact,neutral
e766fcd3e6c9fbf8b05963f36a115f36,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"“They shot their mother, Kitty, reloading to ensure her death,” Andersen’s attorneys said in a statement Thursday.",neither,quote,negative,neither,quote,negative
