article_id,cluster_id,publisher,theme,title,url,human_choice
15bf0585eed058aedfb9d0875b33c7fb,a135a35ce2e1b0bda9549b3c2bae20de,foxnews,High-Stakes Vice Presidential Debate: Vance vs. Walz,Harris 2024 campaign senior adviser previews upcoming vice presidential debate: 'Two very different visions',https://www.foxnews.com/media/harris-2024-campaign-senior-adviser-previews-upcoming-vice-presidential-debate-two-very-different-visions,High-Stakes Vice Presidential Debate: Vance vs. Walz
23d8f2c50a26a7634bc2ebb7a8b6cd41,a135a35ce2e1b0bda9549b3c2bae20de,apnews,High-Stakes Vice Presidential Debate: Vance vs. Walz,Vance and Walz focus their attacks on the top of the ticket — not each other: VP debate takeaways,https://apnews.com/article/debate-takeaways-vance-walz-harris-trump-5b6f219b555416ff579764048ac238a1,High-Stakes Vice Presidential Debate: Vance vs. Walz
956dbafad8a2c69faedf97fde4561989,a135a35ce2e1b0bda9549b3c2bae20de,washingtonpost,High-Stakes Vice Presidential Debate: Vance vs. Walz,"What Vance, Walz need to do to win Tuesday’s vice-presidential debate",https://www.washingtonpost.com/politics/2024/10/01/vance-walz-vice-presidential-debate-what-to-watch,High-Stakes Vice Presidential Debate: Vance vs. Walz
8288c58d3d5297e47fcc09a8f5710f54,a135a35ce2e1b0bda9549b3c2bae20de,foxnews,High-Stakes Vice Presidential Debate: Vance vs. Walz,"Experts preview Vance-Walz debate, say usually 'forgettable' VP bout 'might be different' this time",https://www.foxnews.com/politics/experts-preview-vance-walz-debate-say-usually-forgettable-bout-might-different-time,High-Stakes Vice Presidential Debate: Vance vs. Walz
4705aec51387001b3d4000ec683e73d5,a135a35ce2e1b0bda9549b3c2bae20de,huffpost,High-Stakes Vice Presidential Debate: Vance vs. Walz,"JD Vance, Tim Walz Face Off In Vice Presidential Debate: Live Updates",https://www.huffpost.com/entry/2024-election-vice-presidential-debate-updates_n_66fc3bc5e4b0453dc1ee4fec,High-Stakes Vice Presidential Debate: Vance vs. Walz
5c8c63d9c4d98114acd71283351c7e4d,a135a35ce2e1b0bda9549b3c2bae20de,foxnews,High-Stakes Vice Presidential Debate: Vance vs. Walz,"Heightened 'significance and importance' as Vance, Walz face off in VP debate",https://www.foxnews.com/politics/heightened-significance-importance-vance-walz-face-off-vp-debate,High-Stakes Vice Presidential Debate: Vance vs. Walz
11e58bb8ff536c7bcccf247ba0c89bdd,a135a35ce2e1b0bda9549b3c2bae20de,washingtonpost,High-Stakes Vice Presidential Debate: Vance vs. Walz,What we can learn about Vance and Walz from past debate performances,https://www.washingtonpost.com/politics/2024/09/30/vance-walz-debate-2/,High-Stakes Vice Presidential Debate: Vance vs. Walz
c6b58b262ac0719b75e3b2c33157c836,a135a35ce2e1b0bda9549b3c2bae20de,theguardian,High-Stakes Vice Presidential Debate: Vance vs. Walz,How to watch the Walz-Vance vice-presidential debate,https://www.theguardian.com/us-news/2024/oct/01/watch-walz-vance-vice-presidential-debate-time,High-Stakes Vice Presidential Debate: Vance vs. Walz
3ce32b1e9d31726dd4b67925db7c230e,170340d54d98795beebae1e637819343,breitbart,High-Stakes Vice Presidential Debate: Vance vs. Walz,Trump Campaign Expects Tim Walz to 'Be a Chameleon' During VP Debate,https://www.breitbart.com/2024-election/2024/09/30/trump-campaign-expects-tim-walz-chameleon-vp-debate/,High-Stakes Vice Presidential Debate: Vance vs. Walz
a555092ef14a46e42d2fdb12582c07f6,170340d54d98795beebae1e637819343,breitbart,High-Stakes Vice Presidential Debate: Vance vs. Walz,Trump Campaign Expects Tim Walz to 'Be a Chameleon' During VP Debate,https://www.breitbart.com/2024-election/2024/09/30/trump-campaign-expects-tim-walz-chameleon-vp-debate,High-Stakes Vice Presidential Debate: Vance vs. Walz
5a3c851ee312aee0bd4b01a6aabcb6d5,a135a35ce2e1b0bda9549b3c2bae20de,breitbart,High-Stakes Vice Presidential Debate: Vance vs. Walz,"*** VP Debate Livewire *** JD Vance, Tim Walz Face Off in New York as World Deteriorates into Chaos",https://www.breitbart.com/politics/2024/10/01/vp-debate-livewire-jd-vance-tim-walz-face-off-new-york-world-deteriorates-into-chaos,High-Stakes Vice Presidential Debate: Vance vs. Walz
386218423717c7f99fcdf06c3aefa636,a135a35ce2e1b0bda9549b3c2bae20de,theguardian,High-Stakes Vice Presidential Debate: Vance vs. Walz,VP debate live: Vance refuses to say Trump lost 2020 election as Walz asks America to ‘stand up’ for democracy,https://www.theguardian.com/us-news/live/2024/oct/01/election-vance-walz-harris-trump-vp-debate,High-Stakes Vice Presidential Debate: Vance vs. Walz
cd4fb36f555801e66b8ae9591a99d9d5,a135a35ce2e1b0bda9549b3c2bae20de,cnn,High-Stakes Vice Presidential Debate: Vance vs. Walz,Takeaways from the vice presidential debate between Vance and Walz | CNN Politics,https://www.cnn.com/2024/10/01/politics/vp-debate-takeaways-vance-walz/index.html,High-Stakes Vice Presidential Debate: Vance vs. Walz
5e2e72c1b6134f03f1a5efb133422b8e,a135a35ce2e1b0bda9549b3c2bae20de,apnews,High-Stakes Vice Presidential Debate: Vance vs. Walz,Walz and Vance go in depth on policy while attacking each other’s running mates in VP debate,https://apnews.com/article/vance-walz-vice-presidential-debate-election-66ff2e5e45a8dda55b0a2242fc238fdc,High-Stakes Vice Presidential Debate: Vance vs. Walz
d14a4e5db64b924a0ea83dba04321772,a135a35ce2e1b0bda9549b3c2bae20de,nytimes,High-Stakes Vice Presidential Debate: Vance vs. Walz,"Vance-Walz Vice-Presidential Debate: Time, Streaming and Rules",https://www.nytimes.com/2024/09/24/us/politics/watch-vance-walz-vp-debate.html,High-Stakes Vice Presidential Debate: Vance vs. Walz
602c553e5ce3d0caca12510e89dd5ae6,a135a35ce2e1b0bda9549b3c2bae20de,cnn,High-Stakes Vice Presidential Debate: Vance vs. Walz,What to watch for during the Vance-Walz VP debate | CNN Politics,https://www.cnn.com/2024/10/01/politics/what-to-watch-vp-debate/index.html,High-Stakes Vice Presidential Debate: Vance vs. Walz
902f744829e0010ce6df5250a74cabfb,72b30145067a717ccfb84fad65dd3d1f,usatoday,High-Stakes Vice Presidential Debate: Vance vs. Walz,Vice presidential debate bingo: Play USA TODAY's free game during the Walz-Vance showdown,https://www.usatoday.com/story/news/politics/elections/2024/09/30/vice-presidential-debate-bingo/75455273007,High-Stakes Vice Presidential Debate: Vance vs. Walz
25a48c9af61f862862b82f79dda3fb85,e95fded85c154e1b53424284043534c1,washingtonpost,High-Stakes Vice Presidential Debate: Vance vs. Walz,Election 2024 live updates: What to watch when Vance and Walz take the vice-presidential debate stage,https://www.washingtonpost.com/elections/2024/10/01/election-2024-vice-presidential-debate-vance-walz-harris-trump,High-Stakes Vice Presidential Debate: Vance vs. Walz
8d9f341a866d24d452aaf72a73bb0530,447d458b3036c35b3103429b5fc8082a,foxnews,High-Stakes Vice Presidential Debate: Vance vs. Walz,JD Vance reminds CBS moderators of debate rules after they try to fact-check him,https://www.foxnews.com/media/jd-vance-reminds-cbs-moderators-debate-rules-after-try-fact-check-him,High-Stakes Vice Presidential Debate: Vance vs. Walz
