sentence_id,article_id,publisher,sentence_text,gpt_tone,gpt_type,gpt_focus,type,tone,focus
407a3f18c49c63bc09cc11a57073dcb6,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"LOS ANGELES () — Prosecutors will recommend Erik and Lyle Menendez be resentenced for the 1989 killings of their parents in the family’s Beverly Hills home, providing the brothers with a chance at freedom after 34 years behind bars.",neutral,fact,neither,fact,positive,neither
9225d1a5c485fae76af2f12412131ef1,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,Los Angeles County District Attorney George Gascón announced during a Thursday news conference that his office would recommend the brothers be sentenced to 50 years to life.,neutral,fact,neither,fact,neutral,democrat
86aa33c0a422ab14368a14d31fb40c99,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"Because they were under 26 years old at the time of the crimes, they will be eligible for parole immediately, he said.",neutral,fact,neither,quote,positive,neither
3f917c02ab8968d3366904957f63841c,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"“I came to a place where I believe, under the law, resentencing is propriate,” Gascón said.",neutral,quote,neither,quote,neutral,democrat
d7747138e70d8fb360d154dd440d987e,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,He said some members of his office oppose the decision.,neutral,fact,neither,fact,neutral,democrat
b93dcc38445ed0697a799b76a5cb21e4,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,Prosecutors will file the petition on Friday and a hearing before a judge could come within the next month or so.,neutral,fact,neither,fact,neutral,neither
671e412f6a343ea04ba3be467d87acbe,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,The Menendez brothers were sentenced in 1996 to life in prison without the possibility of parole.,neutral,fact,neither,fact,negative,neither
80cc0846e52ade3e6e55a14beafb4f3d,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"Lyle Menendez, then 21, and Erik Menendez, then 18, admitted they fatally shot their entertainment executive father, Jose Menendez, and their mother, Kitty Menendez.",neutral,fact,neither,fact,negative,neither
1cbd7da4699879b7cd2246dd3db14412,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,The brothers said they feared their parents were about to kill them to stop people from finding out that Jose Menendez had sexually abused Erik Menendez for years.,neutral,fact,neither,fact,negative,neither
a0c5206216cac41e8e29ebac3b38008e,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,Family largely united in asking for brothers’ freedom,neutral,fact,neither,fact,positive,neither
f1d5ba7e11d1b86d0eb70f80465b3b83,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"The brothers’ extended family has pleaded for their release, saying they deserve to be free after decades behind bars.",neutral,fact,neither,fact,positive,neither
06a826d890d895bcc9868687e4e2dc6a,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,Several family members have said that in today’s world — which is more aware of the impact of sexual abuse — the brothers would not have been convicted of first-degree murder and sentenced to life.,neutral,opinion,neither,fact,neutral,neither
e1100360ff3f26087cc4502abee768b8,01b0d8ea3c0d1f16a6eb6564ea04dd48,apnews,"Multiple members of their extended family, including their aunt Joan Andersen VanderMolen, sat in the first few rows of Thursday’s news conference.",neutral,fact,neither,fact,neutral,neither
